,Unnamed: 0.1,stage_name,stage_score,stage_rank,Unnamed: 0,category_round_id,round_name,score,athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name,route_id,route_name,top,top_tries,zone,zone_tries,low_zone,points,low_zone_tries,modified,status,plus,restarted,time_ms
0,2,Boulder,98.9,1,1,8351,Semi-final,175.0,1147,1,Janja,GARNBRET,,,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826.0,1,True,1.0,True,1.0,True,25.0,1.0,2023-08-09 08:48:33 +00:00,locked,,,
1,2,Boulder,98.9,1,1,8351,Semi-final,175.0,1147,1,Janja,GARNBRET,,,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827.0,2,True,3.0,True,2.0,True,24.8,1.0,2023-08-09 08:59:58 +00:00,locked,,,
2,2,Boulder,98.9,1,1,8351,Semi-final,175.0,1147,1,Janja,GARNBRET,,,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828.0,3,True,4.0,True,2.0,True,24.7,1.0,2023-08-09 09:10:47 +00:00,locked,,,
3,2,Boulder,98.9,1,1,8351,Semi-final,175.0,1147,1,Janja,GARNBRET,,,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829.0,4,True,7.0,True,7.0,True,24.4,2.0,2023-08-09 09:22:35 +00:00,locked,,,
4,3,Lead,76.1,2,1,8351,Semi-final,175.0,1147,1,Janja,GARNBRET,,,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830.0,1,False,,,,,,,2023-08-09 20:29:40 +00:00,locked,True,False,0.0
5,4,Boulder,84.9,1,2,8353,Final,177.0,1147,1,Janja,GARNBRET,,,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10836.0,1,True,1.0,True,1.0,True,25.0,1.0,2023-08-11 17:48:52 +00:00,locked,,,
6,4,Boulder,84.9,1,2,8353,Final,177.0,1147,1,Janja,GARNBRET,,,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10837.0,2,True,2.0,True,1.0,True,24.9,1.0,2023-08-11 18:09:09 +00:00,locked,,,
7,4,Boulder,84.9,1,2,8353,Final,177.0,1147,1,Janja,GARNBRET,,,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10838.0,3,True,1.0,True,1.0,True,25.0,1.0,2023-08-11 18:30:17 +00:00,locked,,,
8,4,Boulder,84.9,1,2,8353,Final,177.0,1147,1,Janja,GARNBRET,,,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10839.0,4,False,4.0,True,1.0,True,10.0,1.0,2023-08-11 18:51:33 +00:00,locked,,,
9,5,Lead,92.1,2,2,8353,Final,177.0,1147,1,Janja,GARNBRET,,,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10840.0,1,False,,,,,,,2023-08-11 20:21:25 +00:00,locked,True,False,0.0
10,8,Boulder,44.4,7,4,8351,Semi-final,98.5,1226,2,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826.0,1,False,4.0,True,3.0,True,9.8,3.0,2023-08-09 08:48:20 +00:00,locked,,,
11,8,Boulder,44.4,7,4,8351,Semi-final,98.5,1226,2,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827.0,2,False,5.0,False,5.0,True,5.0,1.0,2023-08-09 08:59:52 +00:00,locked,,,
12,8,Boulder,44.4,7,4,8351,Semi-final,98.5,1226,2,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828.0,3,True,5.0,True,5.0,True,24.6,1.0,2023-08-09 09:10:39 +00:00,locked,,,
13,8,Boulder,44.4,7,4,8351,Semi-final,98.5,1226,2,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829.0,4,False,7.0,False,7.0,True,5.0,1.0,2023-08-09 09:22:35 +00:00,locked,,,
14,9,Lead,54.1,6,4,8351,Semi-final,98.5,1226,2,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830.0,1,False,,,,,,,2023-08-09 20:09:23 +00:00,locked,True,False,0.0
15,10,Boulder,69.0,3,5,8353,Final,157.1,1226,2,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10836.0,1,True,2.0,True,1.0,True,24.9,1.0,2023-08-11 17:23:16 +00:00,locked,,,
16,10,Boulder,69.0,3,5,8353,Final,157.1,1226,2,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10837.0,2,True,4.0,True,4.0,True,24.7,1.0,2023-08-11 17:46:15 +00:00,locked,,,
17,10,Boulder,69.0,3,5,8353,Final,157.1,1226,2,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10838.0,3,False,2.0,True,1.0,True,10.0,1.0,2023-08-11 18:05:57 +00:00,locked,,,
18,10,Boulder,69.0,3,5,8353,Final,157.1,1226,2,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10839.0,4,False,9.0,True,7.0,True,9.4,6.0,2023-08-11 18:28:43 +00:00,locked,,,
19,11,Lead,88.1,4,5,8353,Final,157.1,1226,2,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10840.0,1,False,,,,,,,2023-08-11 19:49:59 +00:00,locked,True,False,0.0
