,category_round_id,round_name,score,combined_stages,athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name
0,8349,Qualification,1805.0,"[{'stage_name': 'Boulder', 'stage_score': '1000', 'stage_rank': 1, 'ascents': []}, {'stage_name': 'Lead', 'stage_score': '805', 'stage_rank': 2, 'ascents': []}]",1147,1,Janja,GARNBRET,,,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
1,8351,Semi-final,175.0,"[{'stage_name': 'Boulder', 'stage_score': 98.9, 'stage_rank': 1, 'ascents': [{'route_id': 10826, 'route_name': '1', 'top': True, 'top_tries': 1, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 25, 'low_zone_tries': 1, 'modified': '2023-08-09 08:48:33 +00:00', 'status': 'locked'}, {'route_id': 10827, 'route_name': '2', 'top': True, 'top_tries': 3, 'zone': True, 'zone_tries': 2, 'low_zone': True, 'points': 24.8, 'low_zone_tries': 1, 'modified': '2023-08-09 08:59:58 +00:00', 'status': 'locked'}, {'route_id': 10828, 'route_name': '3', 'top': True, 'top_tries': 4, 'zone': True, 'zone_tries': 2, 'low_zone': True, 'points': 24.7, 'low_zone_tries': 1, 'modified': '2023-08-09 09:10:47 +00:00', 'status': 'locked'}, {'route_id': 10829, 'route_name': '4', 'top': True, 'top_tries': 7, 'zone': True, 'zone_tries': 7, 'low_zone': True, 'points': 24.4, 'low_zone_tries': 2, 'modified': '2023-08-09 09:22:35 +00:00', 'status': 'locked'}]}, {'stage_name': 'Lead', 'stage_score': 76.1, 'stage_rank': 2, 'ascents': [{'route_id': 10830, 'route_name': '1', 'top': False, 'score': '47+', 'plus': True, 'restarted': False, 'time_ms': 0, 'modified': '2023-08-09 20:29:40 +00:00', 'status': 'locked'}]}]",1147,1,Janja,GARNBRET,,,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
2,8353,Final,177.0,"[{'stage_name': 'Boulder', 'stage_score': 84.9, 'stage_rank': 1, 'ascents': [{'route_id': 10836, 'route_name': '1', 'top': True, 'top_tries': 1, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 25, 'low_zone_tries': 1, 'modified': '2023-08-11 17:48:52 +00:00', 'status': 'locked'}, {'route_id': 10837, 'route_name': '2', 'top': True, 'top_tries': 2, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 24.9, 'low_zone_tries': 1, 'modified': '2023-08-11 18:09:09 +00:00', 'status': 'locked'}, {'route_id': 10838, 'route_name': '3', 'top': True, 'top_tries': 1, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 25, 'low_zone_tries': 1, 'modified': '2023-08-11 18:30:17 +00:00', 'status': 'locked'}, {'route_id': 10839, 'route_name': '4', 'top': False, 'top_tries': 4, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 10, 'low_zone_tries': 1, 'modified': '2023-08-11 18:51:33 +00:00', 'status': 'locked'}]}, {'stage_name': 'Lead', 'stage_score': 92.1, 'stage_rank': 2, 'ascents': [{'route_id': 10840, 'route_name': '1', 'top': False, 'score': '49+', 'plus': True, 'restarted': False, 'time_ms': 0, 'modified': '2023-08-11 20:21:25 +00:00', 'status': 'locked'}]}]",1147,1,Janja,GARNBRET,,,SLO,15,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
3,8349,Qualification,910.0,"[{'stage_name': 'Boulder', 'stage_score': '415', 'stage_rank': 8, 'ascents': []}, {'stage_name': 'Lead', 'stage_score': '495', 'stage_rank': 6, 'ascents': []}]",1226,2,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
4,8351,Semi-final,98.5,"[{'stage_name': 'Boulder', 'stage_score': 44.4, 'stage_rank': 7, 'ascents': [{'route_id': 10826, 'route_name': '1', 'top': False, 'top_tries': 4, 'zone': True, 'zone_tries': 3, 'low_zone': True, 'points': 9.8, 'low_zone_tries': 3, 'modified': '2023-08-09 08:48:20 +00:00', 'status': 'locked'}, {'route_id': 10827, 'route_name': '2', 'top': False, 'top_tries': 5, 'zone': False, 'zone_tries': 5, 'low_zone': True, 'points': 5, 'low_zone_tries': 1, 'modified': '2023-08-09 08:59:52 +00:00', 'status': 'locked'}, {'route_id': 10828, 'route_name': '3', 'top': True, 'top_tries': 5, 'zone': True, 'zone_tries': 5, 'low_zone': True, 'points': 24.6, 'low_zone_tries': 1, 'modified': '2023-08-09 09:10:39 +00:00', 'status': 'locked'}, {'route_id': 10829, 'route_name': '4', 'top': False, 'top_tries': 7, 'zone': False, 'zone_tries': 7, 'low_zone': True, 'points': 5, 'low_zone_tries': 1, 'modified': '2023-08-09 09:22:35 +00:00', 'status': 'locked'}]}, {'stage_name': 'Lead', 'stage_score': 54.1, 'stage_rank': 6, 'ascents': [{'route_id': 10830, 'route_name': '1', 'top': False, 'score': '41+', 'plus': True, 'restarted': False, 'time_ms': 0, 'modified': '2023-08-09 20:09:23 +00:00', 'status': 'locked'}]}]",1226,2,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
5,8353,Final,157.1,"[{'stage_name': 'Boulder', 'stage_score': 69, 'stage_rank': 3, 'ascents': [{'route_id': 10836, 'route_name': '1', 'top': True, 'top_tries': 2, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 24.9, 'low_zone_tries': 1, 'modified': '2023-08-11 17:23:16 +00:00', 'status': 'locked'}, {'route_id': 10837, 'route_name': '2', 'top': True, 'top_tries': 4, 'zone': True, 'zone_tries': 4, 'low_zone': True, 'points': 24.7, 'low_zone_tries': 1, 'modified': '2023-08-11 17:46:15 +00:00', 'status': 'locked'}, {'route_id': 10838, 'route_name': '3', 'top': False, 'top_tries': 2, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 10, 'low_zone_tries': 1, 'modified': '2023-08-11 18:05:57 +00:00', 'status': 'locked'}, {'route_id': 10839, 'route_name': '4', 'top': False, 'top_tries': 9, 'zone': True, 'zone_tries': 7, 'low_zone': True, 'points': 9.4, 'low_zone_tries': 6, 'modified': '2023-08-11 18:28:43 +00:00', 'status': 'locked'}]}, {'stage_name': 'Lead', 'stage_score': 88.1, 'stage_rank': 4, 'ascents': [{'route_id': 10840, 'route_name': '1', 'top': False, 'score': '48+', 'plus': True, 'restarted': False, 'time_ms': 0, 'modified': '2023-08-11 19:49:59 +00:00', 'status': 'locked'}]}]",1226,2,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
6,8349,Qualification,1495.0,"[{'stage_name': 'Boulder', 'stage_score': '495', 'stage_rank': 6, 'ascents': []}, {'stage_name': 'Lead', 'stage_score': '1000', 'stage_rank': 1, 'ascents': []}]",2380,3,Ai,MORI,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
7,8351,Semi-final,136.9,"[{'stage_name': 'Boulder', 'stage_score': 44.9, 'stage_rank': 6, 'ascents': [{'route_id': 10826, 'route_name': '1', 'top': False, 'top_tries': 5, 'zone': False, 'zone_tries': 5, 'low_zone': True, 'points': 5, 'low_zone_tries': 1, 'modified': '2023-08-09 08:48:28 +00:00', 'status': 'locked'}, {'route_id': 10827, 'route_name': '2', 'top': False, 'top_tries': 3, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 10, 'low_zone_tries': 1, 'modified': '2023-08-09 08:59:55 +00:00', 'status': 'locked'}, {'route_id': 10828, 'route_name': '3', 'top': False, 'top_tries': 11, 'zone': False, 'zone_tries': 11, 'low_zone': True, 'points': 4.9, 'low_zone_tries': 2, 'modified': '2023-08-09 09:10:48 +00:00', 'status': 'locked'}, {'route_id': 10829, 'route_name': '4', 'top': True, 'top_tries': 1, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 25, 'low_zone_tries': 1, 'modified': '2023-08-09 09:22:33 +00:00', 'status': 'locked'}]}, {'stage_name': 'Lead', 'stage_score': 92, 'stage_rank': 1, 'ascents': [{'route_id': 10830, 'route_name': '1', 'top': False, 'score': '51', 'plus': False, 'restarted': False, 'time_ms': 0, 'modified': '2023-08-09 20:24:02 +00:00', 'status': 'locked'}]}]",2380,3,Ai,MORI,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
8,8353,Final,140.6,"[{'stage_name': 'Boulder', 'stage_score': 44.5, 'stage_rank': 6, 'ascents': [{'route_id': 10836, 'route_name': '1', 'top': False, 'top_tries': 6, 'zone': False, 'zone_tries': 6, 'low_zone': True, 'points': 4.9, 'low_zone_tries': 2, 'modified': '2023-08-11 17:48:53 +00:00', 'status': 'locked'}, {'route_id': 10837, 'route_name': '2', 'top': True, 'top_tries': 3, 'zone': True, 'zone_tries': 2, 'low_zone': True, 'points': 24.8, 'low_zone_tries': 1, 'modified': '2023-08-11 18:06:02 +00:00', 'status': 'locked'}, {'route_id': 10838, 'route_name': '3', 'top': False, 'top_tries': 2, 'zone': True, 'zone_tries': 1, 'low_zone': True, 'points': 10, 'low_zone_tries': 1, 'modified': '2023-08-11 18:28:49 +00:00', 'status': 'locked'}, {'route_id': 10839, 'route_name': '4', 'top': False, 'top_tries': 6, 'zone': False, 'zone_tries': 6, 'low_zone': True, 'points': 4.8, 'low_zone_tries': 3, 'modified': '2023-08-11 18:46:53 +00:00', 'status': 'locked'}]}, {'stage_name': 'Lead', 'stage_score': 96.1, 'stage_rank': 1, 'ascents': [{'route_id': 10840, 'route_name': '1', 'top': False, 'score': '50+', 'plus': True, 'restarted': False, 'time_ms': 0, 'modified': '2023-08-11 20:14:31 +00:00', 'status': 'locked'}]}]",2380,3,Ai,MORI,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
9,8349,Qualification,1235.0,"[{'stage_name': 'Boulder', 'stage_score': '690', 'stage_rank': 3, 'ascents': []}, {'stage_name': 'Lead', 'stage_score': '545', 'stage_rank': 5, 'ascents': []}]",1811,4,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023"
