,stage_name,stage_score,stage_rank,ascents,Unnamed: 0,category_round_id,round_name,score,athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name
0,speed,,,[],0,6833,Qualification,20,1226,1,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
1,boulder,,,[],0,6833,Qualification,20,1226,1,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
2,lead,,,[],0,6833,Qualification,20,1226,1,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
3,speed,,,[],1,6833,Qualification,36,1161,2,Mia,KRAMPL,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
4,boulder,,,[],1,6833,Qualification,36,1161,2,Mia,KRAMPL,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
5,lead,,,[],1,6833,Qualification,36,1161,2,Mia,KRAMPL,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
6,speed,,,[],2,6833,Qualification,42,3465,3,Elnaz,REKABI,,,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
7,boulder,,,[],2,6833,Qualification,42,3465,3,Elnaz,REKABI,,,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
8,lead,,,[],2,6833,Qualification,42,3465,3,Elnaz,REKABI,,,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
9,speed,,,[],3,6833,Qualification,75,3357,4,Tamara,ULZHABAYEVA,,,KAZ,47,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
10,boulder,,,[],3,6833,Qualification,75,3357,4,Tamara,ULZHABAYEVA,,,KAZ,47,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
11,lead,,,[],3,6833,Qualification,75,3357,4,Tamara,ULZHABAYEVA,,,KAZ,47,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
12,speed,,,[],4,6833,Qualification,90,3113,5,Hannah,MEUL,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
13,boulder,,,[],4,6833,Qualification,90,3113,5,Hannah,MEUL,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
14,lead,,,[],4,6833,Qualification,90,3113,5,Hannah,MEUL,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
15,speed,,,[],5,6833,Qualification,100,4320,6,Roxana,WIENAND,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
16,boulder,,,[],5,6833,Qualification,100,4320,6,Roxana,WIENAND,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
17,lead,,,[],5,6833,Qualification,100,4320,6,Roxana,WIENAND,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
18,speed,,,[],6,6833,Qualification,132,1486,7,Ievgeniia,KAZBEKOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
19,boulder,,,[],6,6833,Qualification,132,1486,7,Ievgeniia,KAZBEKOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
20,lead,,,[],6,6833,Qualification,132,1486,7,Ievgeniia,KAZBEKOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
21,speed,,,[],7,6833,Qualification,242,1517,8,Tetiana,KOLKOTINA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
22,boulder,,,[],7,6833,Qualification,242,1517,8,Tetiana,KOLKOTINA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
23,lead,,,[],7,6833,Qualification,242,1517,8,Tetiana,KOLKOTINA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
24,speed,,,[],8,6833,Qualification,360,3524,9,Mahya,DARABIAN,,,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
25,boulder,,,[],8,6833,Qualification,360,3524,9,Mahya,DARABIAN,,,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
26,lead,,,[],8,6833,Qualification,360,3524,9,Mahya,DARABIAN,,,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
27,speed,,,[],9,6833,Qualification,472.5,1488,10,Margaryta,ZAKHAROVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
28,boulder,,,[],9,6833,Qualification,472.5,1488,10,Margaryta,ZAKHAROVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
29,lead,,,[],9,6833,Qualification,472.5,1488,10,Margaryta,ZAKHAROVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
30,speed,,,[],10,6833,Qualification,600,1526,11,Nika,POTAPOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
31,boulder,,,[],10,6833,Qualification,600,1526,11,Nika,POTAPOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
32,lead,,,[],10,6833,Qualification,600,1526,11,Nika,POTAPOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
