,stage_name,category_round_id,score,athlete_id,rank,firstname,lastname,country,federation_id,comp_name
0,speed,6833,20,1226,1,Jessica,PILZ,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
1,boulder,6833,20,1226,1,Jessica,PILZ,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
2,lead,6833,20,1226,1,Jessica,PILZ,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
3,speed,6833,36,1161,2,Mia,KRAMPL,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
4,boulder,6833,36,1161,2,Mia,KRAMPL,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
5,lead,6833,36,1161,2,Mia,KRAMPL,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
6,speed,6833,42,3465,3,Elnaz,REKABI,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
7,boulder,6833,42,3465,3,Elnaz,REKABI,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
8,lead,6833,42,3465,3,Elnaz,REKABI,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
9,speed,6833,75,3357,4,Tamara,ULZHABAYEVA,KAZ,47,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
10,boulder,6833,75,3357,4,Tamara,ULZHABAYEVA,KAZ,47,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
11,lead,6833,75,3357,4,Tamara,ULZHABAYEVA,KAZ,47,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
12,speed,6833,90,3113,5,Hannah,MEUL,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
13,boulder,6833,90,3113,5,Hannah,MEUL,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
14,lead,6833,90,3113,5,Hannah,MEUL,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
15,speed,6833,100,4320,6,Roxana,WIENAND,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
16,boulder,6833,100,4320,6,Roxana,WIENAND,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
17,lead,6833,100,4320,6,Roxana,WIENAND,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
18,speed,6833,132,1486,7,Ievgeniia,KAZBEKOVA,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
19,boulder,6833,132,1486,7,Ievgeniia,KAZBEKOVA,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
20,lead,6833,132,1486,7,Ievgeniia,KAZBEKOVA,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
21,speed,6833,242,1517,8,Tetiana,KOLKOTINA,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
22,boulder,6833,242,1517,8,Tetiana,KOLKOTINA,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
23,lead,6833,242,1517,8,Tetiana,KOLKOTINA,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
24,speed,6833,360,3524,9,Mahya,DARABIAN,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
25,boulder,6833,360,3524,9,Mahya,DARABIAN,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
26,lead,6833,360,3524,9,Mahya,DARABIAN,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
27,speed,6833,472.5,1488,10,Margaryta,ZAKHAROVA,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
28,boulder,6833,472.5,1488,10,Margaryta,ZAKHAROVA,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
29,lead,6833,472.5,1488,10,Margaryta,ZAKHAROVA,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
30,speed,6833,600,1526,11,Nika,POTAPOVA,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
31,boulder,6833,600,1526,11,Nika,POTAPOVA,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
32,lead,6833,600,1526,11,Nika,POTAPOVA,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
