athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,rounds,comp_name
1226,1,Jessica,PILZ,,,AUT,16,"[{'category_round_id': 6833, 'round_name': 'Qualification', 'score': '20.0', 'combined_stages': [{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
1161,2,Mia,KRAMPL,,,SLO,15,"[{'category_round_id': 6833, 'round_name': 'Qualification', 'score': '36.0', 'combined_stages': [{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
3465,3,Elnaz,REKABI,,,IRI,49,"[{'category_round_id': 6833, 'round_name': 'Qualification', 'score': '42.0', 'combined_stages': [{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
3357,4,Tamara,ULZHABAYEVA,,,KAZ,47,"[{'category_round_id': 6833, 'round_name': 'Qualification', 'score': '75.0', 'combined_stages': [{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
3113,5,Hannah,MEUL,,,GER,6,"[{'category_round_id': 6833, 'round_name': 'Qualification', 'score': '90.0', 'combined_stages': [{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
4320,6,Roxana,WIENAND,,,GER,6,"[{'category_round_id': 6833, 'round_name': 'Qualification', 'score': '100.0', 'combined_stages': [{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
1486,7,Ievgeniia,KAZBEKOVA,,,UKR,18,"[{'category_round_id': 6833, 'round_name': 'Qualification', 'score': '132.0', 'combined_stages': [{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
1517,8,Tetiana,KOLKOTINA,,,UKR,18,"[{'category_round_id': 6833, 'round_name': 'Qualification', 'score': '242.0', 'combined_stages': [{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
3524,9,Mahya,DARABIAN,,,IRI,49,"[{'category_round_id': 6833, 'round_name': 'Qualification', 'score': '360.0', 'combined_stages': [{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
1488,10,Margaryta,ZAKHAROVA,,,UKR,18,"[{'category_round_id': 6833, 'round_name': 'Qualification', 'score': '472.5', 'combined_stages': [{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
1526,11,Nika,POTAPOVA,,,UKR,18,"[{'category_round_id': 6833, 'round_name': 'Qualification', 'score': '600.0', 'combined_stages': [{'stage_name': 'speed', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'boulder', 'stage_score': None, 'stage_rank': None, 'ascents': []}, {'stage_name': 'lead', 'stage_score': None, 'stage_rank': None, 'ascents': []}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
