,route_id,route_name,top,plus,rank,corrective_rank,score,Unnamed: 0,category_round_id,round_name,athlete_id,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name,starting_group,speed_elimination_stages,restarted,time_ms,modified,status,ascents
0,1085.0,1,True,False,1.0,1.5,1.73,0,6141,Qualification,2080,Chaehyun,SEO,,,KOR,21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
1,1086.0,2,True,False,1.0,2.0,1.73,0,6141,Qualification,2080,Chaehyun,SEO,,,KOR,21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
2,5554.0,1,True,False,1.0,,TOP,1,6768,Semi-Final,2080,Chaehyun,SEO,,,KOR,21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,295000.0,2021-09-21 09:47:06 +00:00,confirmed,
3,5556.0,1,True,False,1.0,,TOP,2,6770,Final,2080,Chaehyun,SEO,,,KOR,21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,292000.0,2021-09-21 19:00:07 +00:00,confirmed,
4,1085.0,1,True,False,2.0,1.5,2.45,3,6141,Qualification,1803,Natalia,GROSSMAN,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
5,1086.0,2,False,False,2.0,4.0,2.45,3,6141,Qualification,1803,Natalia,GROSSMAN,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
6,5554.0,1,True,False,2.0,,TOP,4,6768,Semi-Final,1803,Natalia,GROSSMAN,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,326000.0,2021-09-21 09:32:57 +00:00,confirmed,
7,5556.0,1,False,False,2.0,,37 (4:22),5,6770,Final,1803,Natalia,GROSSMAN,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,262000.0,2021-09-21 18:54:09 +00:00,confirmed,
8,1085.0,1,False,False,3.0,3.0,2.45,6,6141,Qualification,928,Laura,ROGORA,,,ITA,13,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
9,1086.0,2,True,False,3.0,2.0,2.45,6,6141,Qualification,928,Laura,ROGORA,,,ITA,13,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
10,5554.0,1,True,False,3.0,,TOP,7,6768,Semi-Final,928,Laura,ROGORA,,,ITA,13,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,358000.0,2021-09-21 09:40:26 +00:00,confirmed,
11,5556.0,1,False,False,3.0,,37 (5:01),8,6770,Final,928,Laura,ROGORA,,,ITA,13,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,301000.0,2021-09-21 18:53:58 +00:00,confirmed,
12,1085.0,1,False,True,4.0,9.5,13.44,9,6141,Qualification,1226,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
13,1086.0,2,False,True,4.0,19.0,13.44,9,6141,Qualification,1226,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
14,5554.0,1,False,True,4.0,,41+,10,6768,Semi-Final,1226,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,262000.0,2021-09-21 10:24:25 +00:00,locked,
15,5556.0,1,False,True,4.0,,36+,11,6770,Final,1226,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,272000.0,2021-09-21 18:40:48 +00:00,confirmed,
16,1085.0,1,False,True,5.0,6.0,5.48,12,6141,Qualification,1811,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
17,1086.0,2,False,True,5.0,5.0,5.48,12,6141,Qualification,1811,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
18,5554.0,1,False,True,5.0,,39+,13,6768,Semi-Final,1811,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,364000.0,2021-09-21 09:20:21 +00:00,confirmed,
19,5556.0,1,False,True,5.0,,35+,14,6770,Final,1811,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,305000.0,2021-09-21 18:22:12 +00:00,confirmed,
20,1085.0,1,False,True,6.0,48.5,26.52,15,6141,Qualification,2381,Natsuki,TANII,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
21,1086.0,2,False,True,6.0,14.5,26.52,15,6141,Qualification,2381,Natsuki,TANII,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
22,5554.0,1,False,True,6.0,,41+,16,6768,Semi-Final,2381,Natsuki,TANII,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,274000.0,2021-09-21 07:29:04 +00:00,confirmed,
23,5556.0,1,False,True,6.0,,32+,17,6770,Final,2381,Natsuki,TANII,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,274000.0,2021-09-21 18:33:04 +00:00,confirmed,
24,1085.0,1,False,True,7.0,6.0,7.55,18,6141,Qualification,68,Dinara,FAKHRITDINOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
25,1086.0,2,False,True,7.0,9.5,7.55,18,6141,Qualification,68,Dinara,FAKHRITDINOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
26,5554.0,1,False,True,7.0,,39+,19,6768,Semi-Final,68,Dinara,FAKHRITDINOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,282000.0,2021-09-21 09:08:11 +00:00,confirmed,
27,5556.0,1,False,True,7.0,,32+,20,6770,Final,68,Dinara,FAKHRITDINOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,238000.0,2021-09-21 18:14:58 +00:00,confirmed,
28,1085.0,1,False,True,8.0,15.0,16.88,21,6141,Qualification,467,Salomé,ROMAIN,,,FRA,10,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
29,1086.0,2,False,True,8.0,19.0,16.88,21,6141,Qualification,467,Salomé,ROMAIN,,,FRA,10,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
30,5554.0,1,False,False,8.0,,40,22,6768,Semi-Final,467,Salomé,ROMAIN,,,FRA,10,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,268000.0,2021-09-21 10:24:08 +00:00,locked,
31,5556.0,1,False,True,8.0,,25+,23,6770,Final,467,Salomé,ROMAIN,,,FRA,10,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,184000.0,2021-09-21 18:26:52 +00:00,confirmed,
32,1085.0,1,False,False,9.0,8.0,8.72,24,6141,Qualification,1400,Eliska,ADAMOVSKA,,,CZE,17,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
33,1086.0,2,False,True,9.0,9.5,8.72,24,6141,Qualification,1400,Eliska,ADAMOVSKA,,,CZE,17,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
34,5554.0,1,False,True,9.0,,39+,25,6768,Semi-Final,1400,Eliska,ADAMOVSKA,,,CZE,17,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,342000.0,2021-09-21 09:01:56 +00:00,confirmed,
35,1085.0,1,False,True,10.0,6.0,9.8,26,6141,Qualification,12845,Momoko,ABE,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
36,1086.0,2,False,False,10.0,16.0,9.8,26,6141,Qualification,12845,Momoko,ABE,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
37,5554.0,1,False,True,10.0,,39+,27,6768,Semi-Final,12845,Momoko,ABE,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,280000.0,2021-09-21 08:50:24 +00:00,confirmed,
38,1085.0,1,False,True,11.0,15.0,11.94,28,6141,Qualification,642,Molly,THOMPSON-SMITH,,,GBR,11,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
39,1086.0,2,False,True,11.0,9.5,11.94,28,6141,Qualification,642,Molly,THOMPSON-SMITH,,,GBR,11,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
40,5554.0,1,False,False,11.0,,39,29,6768,Semi-Final,642,Molly,THOMPSON-SMITH,,,GBR,11,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,248000.0,2021-09-21 10:24:37 +00:00,locked,
41,1085.0,1,False,True,12.0,22.5,14.62,30,6141,Qualification,11464,Aleksandra,TOTKOVA,,,BUL,26,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
42,1086.0,2,False,True,12.0,9.5,14.62,30,6141,Qualification,11464,Aleksandra,TOTKOVA,,,BUL,26,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
43,5554.0,1,False,False,12.0,,38,31,6768,Semi-Final,11464,Aleksandra,TOTKOVA,,,BUL,26,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,294000.0,2021-09-21 08:26:19 +00:00,confirmed,
44,1085.0,1,False,False,13.0,11.5,10.45,32,6141,Qualification,11783,Ryu,NAKAGAWA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
45,1086.0,2,False,True,13.0,9.5,10.45,32,6141,Qualification,11783,Ryu,NAKAGAWA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
46,5554.0,1,False,False,13.0,,37,33,6768,Semi-Final,11783,Ryu,NAKAGAWA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,260000.0,2021-09-21 08:44:05 +00:00,confirmed,
