,category_round_id,round_name,score,ascents,athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name,starting_group,speed_elimination_stages
0,6141,Qualification,1.73,"[{'route_id': 1085, 'route_name': '1', 'top': True, 'plus': False, 'rank': 1, 'corrective_rank': 1.5, 'score': 'TOP'}, {'route_id': 1086, 'route_name': '2', 'top': True, 'plus': False, 'rank': 1, 'corrective_rank': 2, 'score': 'TOP'}]",2080,1,Chaehyun,SEO,,,KOR,21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
1,6768,Semi-Final,TOP,"[{'route_id': 5554, 'route_name': '1', 'top': True, 'score': 'TOP', 'plus': False, 'restarted': False, 'time_ms': 295000, 'modified': '2021-09-21 09:47:06 +00:00', 'status': 'confirmed'}]",2080,1,Chaehyun,SEO,,,KOR,21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
2,6770,Final,TOP,"[{'route_id': 5556, 'route_name': '1', 'top': True, 'score': 'TOP', 'plus': False, 'restarted': False, 'time_ms': 292000, 'modified': '2021-09-21 19:00:07 +00:00', 'status': 'confirmed'}]",2080,1,Chaehyun,SEO,,,KOR,21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
3,6141,Qualification,2.45,"[{'route_id': 1085, 'route_name': '1', 'top': True, 'plus': False, 'rank': 1, 'corrective_rank': 1.5, 'score': 'TOP'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 4, 'corrective_rank': 4, 'score': '41'}]",1803,2,Natalia,GROSSMAN,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
4,6768,Semi-Final,TOP,"[{'route_id': 5554, 'route_name': '1', 'top': True, 'score': 'TOP', 'plus': False, 'restarted': False, 'time_ms': 326000, 'modified': '2021-09-21 09:32:57 +00:00', 'status': 'confirmed'}]",1803,2,Natalia,GROSSMAN,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
5,6770,Final,37 (4:22),"[{'route_id': 5556, 'route_name': '1', 'top': False, 'score': '37', 'plus': False, 'restarted': False, 'time_ms': 262000, 'modified': '2021-09-21 18:54:09 +00:00', 'status': 'confirmed'}]",1803,2,Natalia,GROSSMAN,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
6,6141,Qualification,2.45,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': False, 'rank': 3, 'corrective_rank': 3, 'score': '44'}, {'route_id': 1086, 'route_name': '2', 'top': True, 'plus': False, 'rank': 1, 'corrective_rank': 2, 'score': 'TOP'}]",928,3,Laura,ROGORA,,,ITA,13,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
7,6768,Semi-Final,TOP,"[{'route_id': 5554, 'route_name': '1', 'top': True, 'score': 'TOP', 'plus': False, 'restarted': False, 'time_ms': 358000, 'modified': '2021-09-21 09:40:26 +00:00', 'status': 'confirmed'}]",928,3,Laura,ROGORA,,,ITA,13,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
8,6770,Final,37 (5:01),"[{'route_id': 5556, 'route_name': '1', 'top': False, 'score': '37', 'plus': False, 'restarted': False, 'time_ms': 301000, 'modified': '2021-09-21 18:53:58 +00:00', 'status': 'confirmed'}]",928,3,Laura,ROGORA,,,ITA,13,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
9,6141,Qualification,13.44,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 9, 'corrective_rank': 9.5, 'score': '36+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 17, 'corrective_rank': 19, 'score': '37+'}]",1226,4,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
10,6768,Semi-Final,41+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '41+', 'plus': True, 'restarted': False, 'time_ms': 262000, 'modified': '2021-09-21 10:24:25 +00:00', 'status': 'locked'}]",1226,4,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
11,6770,Final,36+,"[{'route_id': 5556, 'route_name': '1', 'top': False, 'score': '36+', 'plus': True, 'restarted': False, 'time_ms': 272000, 'modified': '2021-09-21 18:40:48 +00:00', 'status': 'confirmed'}]",1226,4,Jessica,PILZ,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
12,6141,Qualification,5.48,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 5, 'corrective_rank': 6, 'score': '37+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 5, 'corrective_rank': 5, 'score': '40+'}]",1811,5,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
13,6768,Semi-Final,39+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '39+', 'plus': True, 'restarted': False, 'time_ms': 364000, 'modified': '2021-09-21 09:20:21 +00:00', 'status': 'confirmed'}]",1811,5,Brooke,RABOUTOU,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
